content,country,cleaned_text,language,entities,sentiment_label,sentiment_score
"Los Angeles riots, is this a ""civil war"" of several United States?
",China,"Los Angeles riots, is this a ""civil war"" of several United States?",en,"['Los Angeles', 'United States']",NEGATIVE,0.9961302280426025
"
",China,,unknown,[],POSITIVE,0.7481211423873901
"Text/Observer Network columnist Yixian
",China,Text/Observer Network columnist Yixian,en,[],POSITIVE,0.5773141384124756
"
",China,,unknown,[],POSITIVE,0.7481211423873901
"In the early morning of June 6, several industrial parks and family communities in the suburbs of Los Angeles were simultaneously banged on doors and shouted. The U.S. Immigration and Customs Enforcement (ICE) launched a rare multi-point raid, arresting dozens of immigrants who were ""suspected of illegal residence or criminal records."" As usual, the law enforcement video quickly appeared on social media, but this time, it ignited unexpected anger.
",China,"In the early morning of June 6, several industrial parks and family communities in the suburbs of Los Angeles were simultaneously banged on doors and shouted. The U.S. Immigration and Customs Enforcement (ICE) launched a rare multi-point raid, arresting dozens of immigrants who were ""suspected of illegal residence or criminal records."" As usual, the law enforcement video quickly appeared on social media, but this time, it ignited unexpected anger.",en,"['The U.S. Immigration and Customs Enforcement', 'Los Angeles']",NEGATIVE,0.9105098247528076
"
",China,,unknown,[],POSITIVE,0.7481211423873901
"Within 48 hours, a large number of masked protesters gathered in Chinatown, Compton and 101 Freeway, confronted police officers, held high the Mexican flag, and threw Molotov cocktails. On one side, the National Guard entered the streets with live ammunition, and on the other side, the governor publicly condemned the federal government's ""illegal overreach."" The conflict quickly went beyond the immigration issue and evolved into a collective questioning of legitimacy, identity, and political boundaries.
",China,"Within 48 hours, a large number of masked protesters gathered in Chinatown, Compton and 101 Freeway, confronted police officers, held high the Mexican flag, and threw Molotov cocktails. On one side, the National Guard entered the streets with live ammunition, and on the other side, the governor publicly condemned the federal government's ""illegal overreach."" The conflict quickly went beyond the immigration issue and evolved into a collective questioning of legitimacy, identity, and political boundaries.",en,"['Compton', '101 Freeway', 'the National Guard']",POSITIVE,0.9641334414482117
"
",China,,unknown,[],POSITIVE,0.7481211423873901
"The street riots burning with bullets and anger triggered an open confrontation about ""who has the right to interpret order."" The federal government, local governments, and immigrant groups are engaged in a burning collision on the cracks of the system over legitimate violence, belonging rights, and political sovereignty.
",China,"The street riots burning with bullets and anger triggered an open confrontation about ""who has the right to interpret order."" The federal government, local governments, and immigrant groups are engaged in a burning collision on the cracks of the system over legitimate violence, belonging rights, and political sovereignty.",en,[],NEGATIVE,0.8972124457359314
"
",China,,unknown,[],POSITIVE,0.7481211423873901
"Federal and state: Who crossed the line?
",China,Federal and state: Who crossed the line?,en,[],NEGATIVE,0.9970453381538391
"
",China,,unknown,[],POSITIVE,0.7481211423873901
"Late at night on June 7, heavy footsteps sounded on the streets of Los Angeles, which had not yet subsided. The Trump administration announced that it would mobilize 2,000 California National Guard troops to directly enter multiple hotspots of demonstrations in Los Angeles on the grounds of ""restoring order.""
",China,"Late at night on June 7, heavy footsteps sounded on the streets of Los Angeles, which had not yet subsided. The Trump administration announced that it would mobilize 2,000 California National Guard troops to directly enter multiple hotspots of demonstrations in Los Angeles on the grounds of ""restoring order.""",en,"['Los Angeles', 'Trump', 'California National Guard']",NEGATIVE,0.9796258807182312
"
",China,,unknown,[],POSITIVE,0.7481211423873901
"Unlike the usual procedures, this decision bypassed the consent of Governor Gavin Newsom and cut into local jurisdiction in an almost ""military"" way. Prior to this, California had clearly ordered not to cooperate with ICE's large-scale law enforcement, and this forced intervention undoubtedly pushed an immigration law enforcement storm to the forefront of the confrontation between the constitutional structure of the federal and state governments.
",China,"Unlike the usual procedures, this decision bypassed the consent of Governor Gavin Newsom and cut into local jurisdiction in an almost ""military"" way. Prior to this, California had clearly ordered not to cooperate with ICE's large-scale law enforcement, and this forced intervention undoubtedly pushed an immigration law enforcement storm to the forefront of the confrontation between the constitutional structure of the federal and state governments.",en,"['ICE', 'Gavin Newsom', 'California']",POSITIVE,0.9693505167961121
"
",China,,unknown,[],POSITIVE,0.7481211423873901
